epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,111.463,0.52996,0.7117,1.0796,0.85865,0.40933,0.42414,0.27861,1.79542,2.24866,1.52024,1.52077e-05,1.52077e-05,1.52077e-05
88,112.981,0.68753,0.95611,1.14417,0.86316,0.41047,0.42339,0.27742,1.84898,2.25126,1.53996,1.43596e-05,1.43596e-05,1.43596e-05
89,114.449,0.52562,0.64046,1.05269,0.86316,0.41047,0.42339,0.27742,1.84898,2.25126,1.53996,1.34879e-05,1.34879e-05,1.34879e-05
90,115.93,0.59665,0.54665,1.00962,0.86316,0.41047,0.42339,0.27742,1.84898,2.25126,1.53996,1.25927e-05,1.25927e-05,1.25927e-05
91,117.334,0.54688,0.52165,1.02062,0.86316,0.41047,0.42339,0.27742,1.84898,2.25126,1.53996,1.16739e-05,1.16739e-05,1.16739e-05
92,118.79,0.55014,0.51741,0.86941,0.86287,0.40965,0.42352,0.27626,1.88671,2.22249,1.5486,1.07315e-05,1.07315e-05,1.07315e-05
93,120.17,0.60087,0.60899,1.0778,0.86287,0.40965,0.42352,0.27626,1.88671,2.22249,1.5486,9.76562e-06,9.76562e-06,9.76562e-06
94,121.548,0.43626,0.46681,0.89286,0.86287,0.40965,0.42352,0.27626,1.88671,2.22249,1.5486,8.77613e-06,8.77613e-06,8.77613e-06
95,122.92,0.46326,0.43491,0.90597,0.86287,0.40965,0.42352,0.27626,1.88671,2.22249,1.5486,7.76308e-06,7.76308e-06,7.76308e-06
96,124.359,0.58511,0.46353,0.98417,0.83263,0.49918,0.51457,0.29494,1.87615,2.05762,1.51823,6.72648e-06,6.72648e-06,6.72648e-06
97,125.727,0.57113,0.57217,0.90844,0.83263,0.49918,0.51457,0.29494,1.87615,2.05762,1.51823,5.6663e-06,5.6663e-06,5.6663e-06
98,127.146,0.60021,0.56587,0.98782,0.83263,0.49918,0.51457,0.29494,1.87615,2.05762,1.51823,4.58257e-06,4.58257e-06,4.58257e-06
99,128.563,0.60824,0.53195,1.04639,0.83263,0.49918,0.51457,0.29494,1.87615,2.05762,1.51823,3.47528e-06,3.47528e-06,3.47528e-06
100,130.01,0.41854,0.45694,0.9528,0.64219,0.51355,0.53968,0.28757,1.81267,2.10309,1.52271,2.34442e-06,2.34442e-06,2.34442e-06
